ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-03452	Entremont-le-Vieux	ENTREMONT-LE-VIEUX	canton des Echelles	73107	ENTREMONT-LE-VIEUX
DT73-03479	Epersy	EPERSY	canton d’Albens	73108	EPERSY
DT73-03481	Epierre	EPIERRE	canton d’Aiguebelle	73109	EPIERRE
DT73-03538	Esserts-Blay	ESSERTS-BLAY	canton d’Albertville	73110	ESSERTS-BLAY
DT73-03542	Etable	ETABLE	canton de La Rochette	73111	ETABLE
DT73-03656	Feissons-sur-Salins	FEISSONS-SUR-SALINS	canton de Bozel	73113	FEISSONS-SUR-SALINS
DT73-03717	Flumet	FLUMET	canton d’Ugines	73114	FLUMET
DT73-03759	Fontaine-le-Puits	FONTAINE-LE-PUITS	canton de Moûtiers	73115	FONTAINE-LE-PUITS
DT73-03863	Fourneaux	FOURNEAUX	canton de Modane	73117	FOURNEAUX
DT73-03902	Francin	FRANCIN	canton de Montmélian	73118	FRANCIN
DT73-03957	Freney	FRENEY	canton de Modane	73119	FRENEY
DT73-03973	Fréterive	FRETERIVE	canton de Saint-Pierre-d’Albigny	73120	FRETERIVE
DT73-03997	Frontenex	FRONTENEX	canton de Grésy-sur-Isère	73121	FRONTENEX
DT73-04105	Gerbaix	GERBAIX	canton de Saint-Genix	73122	GERBAIX
DT73-04128	Giettaz	GIETTAZ	canton d’Ugines	73123	GIETTAZ
DT73-04488	Granier	GRANIER	canton d’Aime	73126	GRANIER
DT73-04521	Grésin	GRESIN	canton de Saint-Genix	73127	GRESIN
DT73-04528	Grésy-sur-Aix	GRESY-SUR-AIX	canton d’Aix-les-Bains	73128	GRESY-SUR-AIX
DT73-04529	Grésy-sur-Isère	GRESY-SUR-ISERE	Albertville	73129	GRESY-SUR-ISERE
DT73-04534	Grignon	GRIGNON	canton d’Albertville	73130	GRIGNON
DT73-04664	Hautecour	HAUTECOUR	canton de Moûtiers	73131	HAUTECOUR
DT73-04665	Hauteluce	HAUTELUCE	canton de Beaufort	73132	HAUTELUCE
DT73-04669	Hauteville	HAUTEVILLE	canton de Chamoux	73133	HAUTEVILLE
DT73-04694	Hermillon	HERMILLON	canton de Saint-Jean-de-Maurienne	73135	HERMILLON
DT73-04755	Jacob-Bellecombette	JACOB-BELLECOMBETTE	canton de Chambéry	73137	JACOB-BELLECOMBETTE
DT73-04770	Jarrier	JARRIER	canton de Saint-Jean-de-Maurienne	73138	JARRIER
DT73-04772	Jarsy	JARSY	canton du Châtelard	73139	JARSY
DT73-04801	Jongieux	JONGIEUX	canton d’Yenne	73140	JONGIEUX
DT73-04879	Laissaud	LAISSAUD	canton de Montmélian	73141	LAISSAUD
DT73-04923	Landry	LANDRY	canton d’Aime	73142	LANDRY
DT73-04933	Lanslevillard	LANSLEVILLARD	canton de Lanslebourg	73144	LANSLEVILLARD
DT73-05040	Lescheraines	LESCHERAINES	canton du Châtelard	73146	LESCHERAINES
DT73-05102	Loisieux	LOISIEUX	canton d’Yenne	73147	LOISIEUX
DT73-05184	Lucey	LUCEY	canton d’Yenne	73149	LUCEY
DT73-05316	Marches	MARCHES	canton de Montmélian	73151	MARCHES
DT73-05323	Marcieux	MARCIEUX	canton de Saint-Genix	73152	MARCIEUX
DT73-05363	Marthod	MARTHOD	canton d’Albertville	73153	MARTHOD
DT73-05530	Méry	MERY	canton d’Aix-les-Bains	73155	MERY
