 id 	old	new	
3632	Cleyerigou	Cleyérigou	
3642	Creach	Créach	
3643	Creach Al Lor	Créach al Lor	
3644	Creac’h ar Hoz	Créac'h ar Hoz	
3645	Creach Avel	Créach Avel	
3646	Creach Morvan	Créach Morvan	
3647	Creach Oalec	Créach Oalec	
3648	Creach Picquet	Créach Picquet	
3649	Creach Quelen	Créach Quélen	
3650	Creach Zu	Créach Zu	
3657	Feunteun ar C’hefelec	Feunteun ar C'héfélec	
3659	Foennec Seach	Foennec Séach	
3682	Kerdevezoch	Kerdévézoch	
3687	Kerglouedoc	Kerglouédoc	
3691	Kergornadeach	Kergornadéach	
3701	Kerlavezo	Kerlavézo	
3710	Kernaouezan	Kernaouézan	
3712	Keronquedoc	Keronquédoc	
3722	Kerveneur	Kervéneur	
3725	Kerzean	Kerzéan	
3731	Lan Creac’h Oalec	Lan Créac'h Oalec	
3739	Lezomy	Lézomy	
3742	Men Laouer	Men Laouèr	
3746	Menteval	Mentéval	
3750	Mezalia	Mézalia	
3753	Odegalet	Odégalet	
3756	Pen an Neach	Pen an Néach	
3761	Peren	Péren	
3771	Poulperan	Poulpéran	
3784	Saint Andre	Saint André	
3787	Streat Alec	Stréat Alec	
3788	Streat Glaz	Stréat Glaz	
3789	Theven Kerbrat	Théven Kerbrat	
3793	Traouez	Traouèz	
3794	Troheon	Trohéon	
3798	Ty Névez Peren	Ty Névèz Péren	
3799	Venou	Vénou	
3802	Vezen Ven	Vézen Ven	
3815	Feunteunmean	Feunteunméan	
3817	Geol	Géol	
3849	Porz Neven	Porz Néven	
3857	Runevez	Runévèz	
3866	Streat ar Prat	Stréat ar Prat	
3871	Beg ar Lann Doelan	Beg ar Lann Doëlan	
3883	Doelan	Doëlan	
3890	Grenouillere (La)	Grenouillère (La)	
3892	Heder (Le)	Héder (Le)	
3898	Kerandoare	Kerandoaré	
3900	Kerandoze Doelan	Kerandoze Dëlan	
3908	Kerbeurnes	Kerbeurnès	
3913	Kerchere	Kerchéré	
3927	Kergreven	Kergréven	
3930	Kergueguen (le Bois / le Bourg)	Kerguéguen	
3932	Kerguelen	Kerguélen	
3938	Kerherou	Kerhérou	
3940	Kerjegou	Kerjégou	
3943	Kerliezec	Kerlièzec	
3952	Kernenez	Kernénèz	
3953	Kernevenas	Kernévénas	
3963	Kerroue	Kerroué	
3972	Kervelan	Kervélan	
3974	Kervennou Doelan	Kervennou Doëlan	
3976	Kerveo	Kervéo	
3980	Kerzule	Kerzulé	
3985	Lannevain	Lannévain	
3992	Maneric	Manéric	
3995	Penale	Penalé	
4001	Pont Doelan	Pont Doëlan	
4010	Queon	Quéon	
4033	Ty Quelen	Ty Quélen	
4066	Moulin de Kerchere	Moulin de Kerchéré	
4081	Bec an Allee	Beg an Allée	
4084	Breminou	Bréminou	
4090	Gouelet de Guereven	Gouélet Guéréven	
4091	Guereven	Gueréven	
4097	Keranscoet	Keranscoët	
4100	Kereven	Keréven	
4104	Kerjegu	Kerjégu	
4119	Nervoet (Le)	Nervoët (Le)	
4132	Saint Guenole	Saint Guénolé	
4163	Kerleure	Kerleuré	
4180	Pouligou Kerleure	Pouligou Kerleuré	
4187	Ty Fleot	Ty Fléot	
4191	Ty Pen Allee	Ty Pen Allée	
4193	Botmezer	Botmézer	
4202	Croix Lanneguer	Croix Lannéguer	
4221	Kernevez	Kernévez	
4226	Menehic	Ménéhic	
4227	Menez Clost	Ménez Clost	
4228	Menez Guen	Ménez Guen	
4229	Menez Rouz	Ménez Rouz	
4240	Restabarres	Restabarrès	
4243	Trevoen	Trévoën	
4259	Creach Menory	Créach Ménory	
4276	Penmergues	Penmerguès	
4277	Pleen (Le)	Pléen (Le)	
4285	Quilliogues	Quillioguès	
4298	Keralenoc	Keralénoc	
4299	Kerambleau	Kerambléau	
4304	Kerherve	Kerhervé	
4315	Mezarc’hant	Mézarc'hant	
4322	Pen ar Menez	Pen ar Ménèz	
4324	Pen ar Streat	Pen ar Stréat	
4336	Tremobian	Trémobian	
4340	Coat Neach	Coat Néach	
4343	Coat Noennec	Coat Noënnec	
4346	Creach Gourre	Créach Gourré	
4354	Gouelet Treo	Gouélet Tréo	
4355	Guerdeniel	Guerdéniel	
4358	Guernelen	Guernélen	
4359	Guernenez	Guernénèz	
4363	Kerandouare	Kerandouaré	
4372	Kernevez	Kernévez	
4373	Kernevez Sec’h	Kernévez Sec'h	
4384	Langole	Langolé	
4388	Menez Bras	Ménez Bras	
4389	Menez Roux	Ménez Roux	
4390	Menuch	Ménuch	
4397	Pennaneach	Pennanéach	
4400	Pennavern Moguedet	Pennavern Moguédet	
4414	Saint Guenole	Saint Guénolé	
4436	Boneze	Bonèze	
4440	Clarte (La)	Clarté (La)	
4441	Coat Dero (- / bras)	Coat Déro (- / bras)	
4443	Corniguelou	Corniguèlou	
4446	Creac’h (Le)	Créac'h (Le)	
4452	Dilae	Dilaë	
4457	Gorrequer	Gorréquer	
4460	Helles (Le)	Hellés (Le)	
4464	Kerbenoen (- / Traon)	Kerbénoen (- / Traon)	
4465	Kerberenic	Kerbérénic	
4466	Kerbernes	Kerbernès	
4472	Kerdreanton	Kerdréanton	
4474	Kereol (impasse de)	Keréol	
4492	Kerjegu	Kerjégu	
4495	Kerlever	Kerléver	
4504	Keromnes	Keromnès	
4511	Kerveleguen	Kervéléguen	
4515	Leoc (Le)	Léoc (Le)	
4516	Lezivit	Lézivit	
4518	Mejou Mel	Méjou Mél	
4519	Mejou Menez	Méjou Ménez	
4520	Menez (rue du)	Ménez	
4521	Menez Boutin	Ménez Boutin	
4522	Menez Bras	Ménez Bras	
4523	Menez Frug	Ménez Frug	
4524	Menez Kerdreanton	Kerdréanton	
4525	Menez Lanveur	Lanveur	
4526	Menez Noas	Ménez Noas	
4527	Menez Reun (impasse)	Ménez Reun	
