article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00104,Annecy,none,74010,,,,,,,nulle,Haute-Savoie,74,none,dpt_exact,     Annecy     Haute Savoie       Anassiacum  decanatus  316 317  318  322 324  341 343  348  decanus  334 a      Anassiacum Burgus  capellanus  322 e  curatus  341 e      Annassiacum Burgus  capellanus  313 f      Anessiacum  decanatus  352 353  decanus  364      Anessiacum Burgus  cura  352 f      Anessicum  decanatus  360 c      Annasiacum  decanatus  312 314  decanus  305 b      Anniciense capitulum  364    
PO7-00105,Annecy Vieux,none,74011,,,,,,,nulle,Haute-Savoie,74,Annecy,dpt_exact,     Annecy le Vieux     Haute Savoie     con d Annecy       Anassiacum Vetus  capellanus  324 c  curatus  342 f      Anessiacum Vetus  cura  365 a      Annassiacum Vetus  capellanus  313 f    
PO7-00106,Annegray,la Voivre,70573,,,,,,,nulle,Haute-Saône,70,Faucogney,dpt_fuzzy,     Annegray     Haute Saône     con de Faucogney     cne de la Voivre       Anacrates  prior  241 d      Anagrates  241 var  b      Nogrey  prior  55 a    
PO7-00107,Annemasse,none,74012,,,,,,,nulle,Haute-Savoie,74,none,dpt_exact,     Annemasse     Haute Savoie     arr  de Thonon les Bains       Anamassia  capellanus  309 e  328 c  curatus  338 e  349 c  decanatus  309  315 317  328  338  349  decanus  305 b  334 b      Animassia  cura  351 e  decanatus  351  357 a  358 d    
PO7-00108,Anneyron,none,26010,,,,,,,nulle,Drôme,26,Saint-Vallier,dpt_exact,     Anneyron     Drôme     con de Saint Vallier       Aneyro  prior  295 c      Aneyron  prior  279 b      Neyron  capellanus  280 a    
PO7-00109,Annoire,none,39011,,,,,,,nulle,Jura,39,Chemin,dpt_exact,     Annoire     Jura     con de Chemin       Annorie  capellanus  47 b  eccl   79 c  prior  79 c    
PO7-00110,Annoisin,Annoisin-Chatelans,38010,,,,,,,nulle,Isère,38,Crémieu,dpt_exact,     Annoisin     Isère     con de Crémieu     cne d Annoisin Chatelans       Annoysin  capellanus  285 b      Anoysinum  capellanus  292 d    
PO7-00111,Annonay,none,07010,P60581440,DT07-00224,Anneyron,hameau,commune d’Annonay,07010,communes_fuzzy,,,,,
PO7-00111,Annonay,none,07010,P99441555,DT07-13427,Antoine,chapelle et hôpital,commune d’Annonay,07010,communes_fuzzy,,,,,
PO7-00111,Annonay,none,07010,P39856505,DT07-00150,Alignon,ruisseau,commune d’Annonay,07010,communes_fuzzy,,,,,
