Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00676,"Baigne-Chien (fontaine de),","près de l’étang de Pierre-de-Maillé, commune de Sonzay.",Pierre-de-Maillé
DT37-00686,"Baignons (la fontaine),","commune de Semblançay, près de la rivière de Bresne et de l’étang de Tuane.",Tuane
DT37-00703,"Baillon (le lieu de),","près de la Malettrie, commune de Reugny.",Malettrie
DT37-00708,"Bains (fontaine des),","près des Bains, commune de Saint-Paterne.",Bains
DT37-00713,"Balamière (le lieu de),","près de Chasseigne, commune de Charnizay.",Chasseigne
DT37-00715,"Balançons (le lieu des),","près du moulin Pottier, commune de Ciran.",Pottier
DT37-00716,"Balançons (le lieu des),","près de la Touche, commune de Manthelan.",Touche
DT37-00717,"Balardons (le lieu des),","près de la Tripière, commune de Paulmy.",Tripière
DT37-00720,"Balesmes,","commune du canton de La Haye, arrondissement de Loches,",Haye
DT37-00721,"Balet (la fosse du),","près de la Grange de Naie, commune d’Avon.",Naie
DT37-00723,"Baligaudières (les), ou la Balligaudière,","commune de Saint-Paterne, près de Beausoulage.",Beausoulage
DT37-00724,"Balivières (le lieu des),","près des Fontaines, commune de Bossée.",Fontaines
DT37-00725,"Balivières (le lieu des),","près de la Pratoueille, commune de Bournan.",Pratoueille
DT37-00731,"Ballandais (le lieu de la),","près de la Vallée-Bourcier, commune de Savonnières.",Vallée-Bourcier
DT37-00733,"Ballandières (le lieu des),","près de Villeret, commune de Paulmy.",Villeret
DT37-00734,"Ballendière (la),","ferme, commune de Marigny.",Marigny
DT37-00749,"Balois (le lieu de),","commune de Manthelan, près du chemin de la Grande-Marche au Coin de Boutin.",Grande-Marche
DT37-00750,"Balonnières (le lieu de),","près de la Grange, commune de Theneuil.",Grange
DT37-00751,"Balorine (le lieu de la),","près de la ferme du Petit-Puits, commune de Chemillé-sur-Dême.",Petit-Puits
DT37-00753,"Baltière (le lieu de la),","près de Bois-Soleil, commune de Monnaie.",Bois-Soleil
DT37-00756,"Balustre (le lieu de),","près de Poillé, commune de Charentilly.",Poillé
DT37-00758,"Balzaie (la),","ferme, commune du Petit-Pressigny.",Petit-Pressigny
DT37-00761,"Ban (le) ou Banc,","village, commune du Petit-Pressigny, près du bourg,",Petit-Pressigny
DT37-00763,"Bances (le lieu des),","près du Plessis, commune de Lignières.",Plessis
DT37-00766,"Bannerie (la),","métairie, située dans le bourg d’Étableaux, commune du Grand-Pressigny.",Grand-Pressigny
DT37-00769,"Barachonnerie (la),","ferme, commune de Joué.",Joué
DT37-00770,"Barandries (le lieu des),","près de Jautrou, commune d’Avon.",Jautrou
DT37-00771,"Baranger (île),","dans l’Indre, près de la prairie d’Épinay, commune de Monts.",Épinay
DT37-00780,"Baraques (le lieu des),","commune de Sainte-Catherine-de-Fierbois, près du chemin de Sainte-Catherine à Saint-Branchs.",Sainte-Catherine
DT37-00783,"Barateau (le lieu de),","près des Landes, commune de Mazières.",Landes
DT37-00787,"Baratière, ou Port de Baratière,","hameau, situé près de la Creuse, commune d’Yzeures,",Creuse
DT37-00793,"Barattière (le lieu de la),","près du Petit-Prieuré, commune de Vou.",Petit-Prieuré
DT37-00801,"Baraudière (la),","ferme, commune de Marcé-sur-Esves.",Marcé-sur-Esves
DT37-00802,"Baraudière (le lieu de la),","près du Buisson, commune du Louroux.",Buisson
DT37-00804,"Baraudière (la),","ferme, commune de Notre-Dame-d’Oë.",Notre-Dame-d’Oë
DT37-00805,"Baraudière (le lieu de la),","près de la Barboise, commune de Pouzay.",Barboise
DT37-00807,"Baraudières (les),","dans le village de Grigny, commune de Chinon.",Grigny
DT37-00811,"Barbarandes (le lieu des),","près des Loges, commune de Noyant.",Loges
DT37-00817,"Sainte-Barbe (le lieu de),","commune de Chançay, près du chemin de Vaux à Chalentier.",Vaux
DT37-00822,"Sainte-Barbe,","ferme, commune de Saint-Patrice, près de la Loire.",Loire
DT37-00824,"Barbeaux (le lieu des),","près du Moulin-Neuf, commune de Neuvy-Roi.",Moulin-Neuf
DT37-00833,"Barberonne,","ferme, commune de Saint-Cyr.",Saint-Cyr
DT37-00836,"Barbes,",paroisse de Chissay (Loir-et-Cher).,Chissay
