article_id,vedette,vedette_orig,localisationde,dpt_code,canton_code,localisationco,localisationco_orig,NCCENR_orig,insee_code,method,reference
PO9-03013,Orsonnette,Orsonnette,Puy-de-Dôme,63,Saint-Germain-Lembron,none,none,Orsonnette,Orsonnette (63266),dpt_exact,     Orsonnette     Puy de Dôme     con de Saint Germain Lembron       Orceneda  prior  225 c      Orsenedes  199 b    
PO9-03045,Pardines,Pardines,Puy-de-Dôme,63,Issoire,none,none,Pardines,Pardines (63268),dpt_exact,     Pardines     Puy de Dôme     con d Issoire       Pardinas  155 c  201 c    
PO9-03046,Parentignat,Parentignat,Puy-de-Dôme,63,Sauxillanges,none,none,Parentignat,Parentignat (63270),dpt_exact,     Parentignat     Puy de Dôme     con de Sauxillanges       Parentinhat  200 c    
PO9-03056,Paslieres,Paslières,Puy-de-Dôme,63,Châteldon,none,none,Paslières,Paslieres (63271),dpt_exact,     Paslières     Puy de Dôme     con de Châteldon       Palheyras  191 b    
PO9-03084,Perignat les Sarlieve,Pérignat-lès-Sarliève,Puy-de-Dôme,63,Clermont-sud,none,none,Pérignat-lès-Sarliève,Perignat les Sarlieve (63272),dpt_exact,     Pérignat lès Sarliève     Puy de Dôme     con de Clermont sud       Payrinhat  164 b    
PO9-03085,Perignat sur Allier,Pérignat-sur-Allier,Puy-de-Dôme,63,Billom,none,none,Pérignat-sur-Allier,Perignat sur Allier (63273),dpt_exact,     Pérignat sur Allier     Puy de Dôme     con de Billom       Perinhat  190 a    
PO9-03093,Perpezat,Perpezat,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Perpezat,Perpezat (63274),dpt_exact,     Perpezat     Puy de Dôme     con de Rochefort Montagne       Perpezat  165 b    
PO9-03094,Perrier,Perrier,Puy-de-Dôme,63,Issoire,none,none,Perrier,Perrier (63275),dpt_exact,     Perrier     Puy de Dôme     con d Issoire       Perels  203 c      Perers  155 c    
PO9-03101,Peschadoires,Peschadoires,Puy-de-Dôme,63,Lezoux,none,none,Peschadoires,Peschadoires (63276),dpt_exact,     Peschadoires     Puy de Dôme     con de Lezoux       Peschadoyras  190 b      Peschadoyres  curatus  217 c    
PO9-03102,Peslieres,Peslières,Puy-de-Dôme,63,Jumeaux,none,none,Peslières,Peslieres (63277),dpt_exact,     Peslières     Puy de Dôme     con de Jumeaux       Paylleyras  260 d    
PO9-03103,Pessat Villeneuve,Pessat-Villeneuve,Puy-de-Dôme,63,Riom-est,none,none,Pessat-Villeneuve,Pessat Villeneuve (63278),dpt_exact,     Pessat Villeneuve     Puy de Dôme     con de Riom est       Pessac  prior  220 e      Pessat  178 b    
PO9-03131,Picherande,Picherande,Puy-de-Dôme,63,Latour-d’Auvergne,none,none,Picherande,Picherande (63279),dpt_exact,     Picherande     Puy de Dôme     con de Latour d Auvergne       Picherande  165 d    
PO9-03141,Pignols,Pignols,Puy-de-Dôme,63,Vic-le-Comte,none,none,Pignols,Pignols (63280),dpt_exact,     Pignols     Puy de Dôme     con de Vic le Comte       Poynols  190 c    
PO9-03151,Pionsat,Pionsat,Puy-de-Dôme,63,Riom,none,none,Pionsat,Pionsat (63281),dpt_exact,     Pionsat     Puy de Dôme     con de Riom     arrt de Riom       Punsac  220 a      Punsat  prior  176 a      Punsiacus  prior  234 a    
PO9-03165,Plauzat,Plauzat,Puy-de-Dôme,63,Veyre-Monton,none,none,Plauzat,Plauzat (63282),dpt_exact,     Plauzat     Puy de Dôme     con de Veyre Monton       Plauzac  154 a  priores  Cluniacensis et Chanthoensis   154 a      Plauzat  curati  204 d      Plouzat  prior Cluniacensis  224 d  prior Chanthoensis  224 e    
PO9-03192,Pont du Chateau,Pont-du-Château,Puy-de-Dôme,63,Clermont-Ferrand,none,none,Pont-du-Château,Pont du Chateau (63284),dpt_exact,     Pont du Château     Puy de Dôme     con de Clermont Ferrand     arrt de Clermont Ferrand       Castrum Pontis  prior  162 b      Pons Castri  prior  212 b  230 b           Prior  Philibertus de Lariere  230 b    
PO9-03193,Pontgibaud,Pontgibaud,Puy-de-Dôme,63,Riom,none,none,Pontgibaud,Pontgibaud (63285),dpt_exact,     Pontgibaud     Puy de Dôme     con de Riom     arrt de Riom       Pontgibaut  163 e    
PO9-03212,Pouzol,Pouzol,Puy-de-Dôme,63,Menat,none,none,Pouzol,Pouzol (63286),dpt_exact,     Pouzol     Puy de Dôme     con de Menat       Poyzols  178 c    
PO9-03254,Prompsat,Prompsat,Puy-de-Dôme,63,Combronde,none,none,Prompsat,Prompsat (63288),dpt_exact,     Prompsat     Puy de Dôme     con de Combronde       Prohensat  178 b    
PO9-03255,Prondines,Prondines,Puy-de-Dôme,63,Herment,none,none,Prondines,Prondines (63289),dpt_exact,     Prondines     Puy de Dôme     con d Herment       Prondinas  168 b    
PO9-03287,Puy Saint Gulmier,Puy-Saint-Gulmier,Puy-de-Dôme,63,Pontaumur,none,none,Puy-Saint-Gulmier,Puy Saint Gulmier (63292),dpt_exact,     Puy Saint Gulmier     Puy de Dôme     con de Pontaumur       Podium Sancti Gumerii  168 c    
