Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-03031,Carbonat,Arpajon,15012,Arpajon-sur-Cère,
DT15-03062,Carnejac,Arpajon,15012,Arpajon-sur-Cère,
DT15-03086,Carrière (La),Ségur,15225,,
DT15-03090,Carrière-du-Morteil (La),Ségur,15225,,
DT15-03096,Carsac,Arpajon,15012,Arpajon-sur-Cère,
DT15-03108,Cartelade (La),Condat,15054,,
DT15-03124,Casaloux,Chanet,15001,,Commune non reconnue dans le DT
DT15-03128,Case (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-03134,Caserne (La),Saignes,15169,,Commune non reconnue dans le DT
DT15-03136,Cases (Les),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03144,Cassagne (La),Jou-sous-Montjou,15081,,
DT15-03148,Cassagne (La),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03153,Cassan (Le),Chapelle-en-Vézie,15090,Lafeuillade-en-Vézie ,Commune non reconnue dans le DT
DT15-03168,Cassanhe,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03169,Cassaniol,Arpajon,15012,Arpajon-sur-Cère,
DT15-03172,Cassaniouse,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03179,Casses,Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-03180,Casses,Saint-Etienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-03208,Castel-Vieil (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-03219,Catusses (Les),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03224,Caumon (Le),Sarrus,15073,,
DT15-03236,Causses (Les),Montmurat,15133,,
DT15-03261,Cavaroc,Arpajon,15012,Arpajon-sur-Cère,
DT15-03270,Cavy,Marchal,15038,,
DT15-03274,Cayenne,Sainl-Etienne-de-Maurs,15184,,
DT15-03280,Cayla (Le),Monlsalvy,15134,Montsalvy,
DT15-03290,Caylus,Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-03292,Caylus-Bas,Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
