article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-00181,Assieu,Isère,DEP_38,Roussillon,none,38017,exact,sansloc,Assieu
PO7-00182,Assions,Ardèche,DEP_07,Vans,none,07017,exact,sansloc,Assions
PO7-00184,Attenschwiller,Haut-Rhin,DEP_68,Huningue,none,68013,exact,sansloc,Attenschwiller
PO7-00185,Attignat-Oncin,Savoie,DEP_73,Échelles,none,73022,exact,sansloc,Attignat-Oncin
PO7-02504,Oncin,Savoie,DEP_73,Échelles,Attignat-Oncin,73022,exact,avecloc,Attignat-Oncin
PO7-00186,Aubenas,Ardèche,DEP_07,none,none,07019,exact,sansloc,Aubenas
PO7-03098,Sainte-Croix,Ardèche,DEP_07,Aubenas,Aubenas,07019,exact,avecloc,Aubenas
PO7-03472,Saint-Pierre-le-Vieux,Ardèche,DEP_07,Aubenas,Aubenas,07019,exact,avecloc,Aubenas
PO7-03492,Saint-Romain,Ardèche,DEP_07,Aubenas,Aubenas,07019,exact,avecloc,Aubenas
PO7-00187,Aubenasson,Drôme,DEP_26,Saillans,none,26015,exact,sansloc,Aubenasson
PO7-00188,Auberives,Isère,DEP_38,Pont-en-Royans,none,none,nulle,sansloc,none
PO7-00189,Aubignas,Ardèche,DEP_07,Viviers,none,07020,exact,sansloc,Aubignas
PO7-00191,Aubres,Drôme,DEP_26,Nyons,none,26016,exact,sansloc,Aubres
PO7-00193,Aucelon,Drôme,DEP_26,Luc-en-Diois,none,26017,exact,sansloc,Aucelon
PO7-00194,Audeux,Doubs,DEP_25,none,none,25030,exact,sansloc,Audeux
PO7-00197,Augicourt,Haute-Saône,DEP_70,Combeaufontaine,none,70035,exact,sansloc,Augicourt
PO7-00199,Aumont,Jura,DEP_39,Poligny,none,39028,exact,sansloc,Aumont
PO7-00200,Aurel,Drôme,DEP_26,Saillans,none,26019,exact,sansloc,Aurel
PO7-00807,Château ruiné,Drôme,DEP_26,Saillans,Aurel,26019,exact,avecloc,Aurel
PO7-02747,Prieuré,Drôme,DEP_26,Saillans,Aurel,26019,exact,avecloc,Aurel
PO7-00202,Aurillac,Cantal,DEP_15,none,none,15014,exact,sansloc,Aurillac
PO7-00203,Auriolles,Ardèche,DEP_07,Joyeuse,none,33020,exact,sansloc,Auriolles
PO7-00204,Auriples,Drôme,DEP_26,Crest,none,none,nulle,sansloc,none
PO7-00205,Auris,Isère,DEP_38,Bourg-d’Oisans,none,38020,exact,sansloc,Auris
PO7-00206,Aussois,Savoie,DEP_73,Modane,none,73023,exact,sansloc,Aussois
PO7-00207,Authoison,Haute-Saône,DEP_70,Montbozon,none,70038,exact,sansloc,Authoison
PO7-00208,Authumes,Saône-et-Loire,DEP_71,Pierre,none,71013,exact,sansloc,Authumes
PO7-00209,Autichamp,Drôme,DEP_26,Crest,none,26021,exact,sansloc,Autichamp
PO7-00211,Autoreille,Haute-Saône,DEP_70,Gy,none,70039,exact,sansloc,Autoreille
PO7-00015,Achard,Isère,DEP_38,Villard-de-Lans,Autran,none,nulle,avecloc,none
PO7-00212,Autrans,Isère,DEP_38,Villard-de-Lans,none,38021,exact,sansloc,Autrans
PO7-00213,Autun,Saône-et-Loire,DEP_71,none,none,71014,exact,sansloc,Autun
PO7-00214,Auxange,Jura,DEP_39,Gendrey,none,39031,exact,sansloc,Auxange
PO7-00215,Auxon,Haute-Saône,DEP_70,Port-sur-Saône,none,10018,exact,sansloc,Auxon
PO7-00216,Auxon-Dessous,Doubs,DEP_25,Audeux,none,25034,exact,sansloc,Auxon-Dessous
PO7-00217,Auxonne,Côte-d’Or,none,none,none,21038,nodpt,sansloc,Auxonne
PO7-00219,Avanchers,Savoie,DEP_73,Moûtiers,none,none,nulle,sansloc,none
PO7-00220,Avanne,Doubs,DEP_25,Boussières,none,none,nulle,sansloc,none
PO7-00626,Buvin,Isère,DEP_38,Morestel,Avenières,38022,exact,avecloc,Avenières
PO7-00915,Ciers,Isère,DEP_38,Morestel,Avenières,38022,exact,avecloc,Avenières
PO7-00223,Avignonet,Isère,DEP_38,Monestier-de-Clermont,none,38023,exact,sansloc,Avignonet
PO7-00224,Avilley,Doubs,DEP_25,Rougemont,none,25038,exact,sansloc,Avilley
PO7-00226,Avregny,Haute-Savoie,DEP_74,Annecy,none,none,nulle,sansloc,none
PO7-00809,Château-Vieux,Haute-Savoie,DEP_74,Annecy,Avregny,none,nulle,avecloc,none
PO7-00227,Avressieux,Savoie,DEP_73,Saint-Genix,none,73025,exact,sansloc,Avressieux
PO7-00228,Avrieux,Savoie,DEP_73,Modane,none,73026,exact,sansloc,Avrieux
PO7-00229,Avrigney,Haute-Saône,DEP_70,Marnay,none,none,nulle,sansloc,none
PO7-00236,Ayn,Savoie,DEP_73,Pont-de-Beauvoisin,none,73027,exact,sansloc,Ayn
PO7-00237,Ayze,Haute-Savoie,DEP_74,Bonneville,none,none,nulle,sansloc,none
PO7-00238,Azans,Jura,DEP_39,Dole,none,none,nulle,sansloc,none
PO7-00241,Baix,Ardèche,DEP_07,Chomérac,none,07022,exact,sansloc,Baix
PO7-03437,Saint-Pierre,Ardèche,DEP_07,Chomérac,Baix,07022,exact,avecloc,Baix
PO7-00242,Balazuc,Ardèche,DEP_07,Vallon,none,07023,exact,sansloc,Balazuc
PO7-00243,Balbins,Isère,DEP_38,la Côte-Saint-André,none,38025,exact,sansloc,Balbins
PO7-00244,Baldersheim,Haut-Rhin,DEP_68,Habsheim,none,68015,exact,sansloc,Baldersheim
PO7-00247,Balgau,Haut-Rhin,DEP_68,Neuf-Brisach,none,68016,exact,sansloc,Balgau
PO7-00249,Ballaison,Haute-Savoie,DEP_74,Douvaine,none,74025,exact,sansloc,Ballaison
PO7-00250,Ballersdorf,Haut-Rhin,DEP_68,Altkirch,none,68017,exact,sansloc,Ballersdorf
PO7-03332,Saint-Martin,Haut-Rhin,DEP_68,Altkirch,Ballersdorf,68017,exact,avecloc,Ballersdorf
PO7-00251,Balme,Savoie,DEP_73,Yenne,none,73028,exact,sansloc,Balme
PO7-00252,Balme-de-Sillingy,Haute-Savoie,DEP_74,Annecy,none,74026,exact,sansloc,Balme-de-Sillingy
PO7-00253,Balme-de-Thuy,Haute-Savoie,DEP_74,Thônes,none,74027,exact,sansloc,Balme-de-Thuy
PO7-00255,Balmont,Haute-Savoie,DEP_74,Alby,none,none,nulle,sansloc,none
PO7-00256,Balschwiller,Haut-Rhin,DEP_68,Dannemarie,none,68018,exact,sansloc,Balschwiller
PO7-00258,Bannans,Doubs,DEP_25,Pontarlier,none,25041,exact,sansloc,Bannans
PO7-00259,Banne,Ardèche,DEP_07,Vans,none,07024,exact,sansloc,Banne
PO7-00262,Bantzenheim,Haut-Rhin,DEP_68,Habsheim,none,68020,exact,sansloc,Bantzenheim
PO7-00440,Blidolsheim,Haut-Rhin,DEP_68,Habsheim,Bantzenheim,68020,exact,avecloc,Bantzenheim
PO7-00263,Barberaz,Savoie,DEP_73,Chambéry,none,73029,exact,sansloc,Barberaz
PO7-00265,Barby,Savoie,DEP_73,Chambéry,none,08048,exact,sansloc,Barby
PO7-00266,Barcelonne,Drôme,DEP_26,Chabeuil,none,26024,exact,sansloc,Barcelonne
PO7-00267,Bard-lès-Pesmes,Haute-Saône,DEP_70,Pesmes,none,70048,exact,sansloc,Bard-lès-Pesmes
PO7-00271,Barges,Haute-Saône,DEP_70,Jussey,none,21048,exact,sansloc,Barges
PO7-00272,Barnave,Drôme,DEP_26,Luc-en-Diois,none,26025,exact,sansloc,Barnave
PO7-00273,Barraux,Isère,DEP_38,Touvet,none,38027,exact,sansloc,Barraux
