id,commune_dt,insee,type,vedette,typologie
336,Trouillas (Trullars),66217,,Taraccarias,
337,Thuir,66210,commune,Thuir,commune
338,Thuir (Tuhir),66210,,Laurà,
339,Thuir (Tuhir),66210,,Palaudà,
340,Thuir (Tuhir),66210,,La Pietat,
341,Thuir (Tuhir),66210,,Sant Sebastià,
342,Villelongue-de-la-Salanque,66224,commune,Villelongue-de-la-Salanque,commune
343,Villelongue-de-la-Salanque (Vilallonga de la Salanca),66224,,Sant Esteve del Pi,
344,Villelongue-dels-Monts,66225,commune,Villelongue-dels-Monts,commune
345,Villelongue-dels-Monts (Vilallonga dels Monts),66225,,Santa Maria del Vilar,
346,Villemolaque,66226,commune,Villemolaque,commune
347,Villemolaque (Vilamulaca),66226,,Sant Miquel de Candell,
348,Villeneuve-la-Rivière,66228,commune,Villeneuve-la-Rivière,commune
349,Villeneuve-de-la-Raho,66227,commune,Villeneuve-de-la-Raho,commune
350,Villeneuve-de-la-Raho (Vilanova de Rahó),66227,,La Vila Vella,
351,Vingrau,66231,commune,Vingrau,commune
352,Vingrau,66231,,Jenegals,
353,Le Boulou,66024,commune,Le Boulou,commune
354,Boulou (El Voló),66024,,Molars,
355,Boulou (El Voló),66024,,Ursigà,
356,,,,Albaró,
357,,,,Calcanet,
358,,,,Castellà,
359,,,,Centenarium — Centuriones,
361,,,,Giramonts,
362,,,,Hatxo,
363,,,,Holesel,
364,,,,Matallobera,
365,,,,Nogaret,
366,,,,Pyreneum,
367,,,,Reixach,
368,,,,Stabulum,
369,,,,Topineres,
370,,,,Torosa,
371,,,,Tortoria,
372,Arles-sur-Tech,66009,commune,Arles-sur-Tech,commune
373,Arles-sur-Tech (Arles),66009,,Les Abadies,
374,Arles-sur-Tech (Arles),66009,,Aiguabella,
375,Arles-sur-Tech (Arles),66009,,La Batllia,
376,Arles-sur-Tech (Arles),66009,,Bonabosch,
377,Arles-sur-Tech (Arles),66009,,Castanyer,
378,Arles-sur-Tech (Arles),66009,,La Clota,
379,Arles-sur-Tech (Arles),66009,,Codalet,
380,Arles-sur-Tech (Arles),66009,,Cugussach,
381,Arles-sur-Tech (Arles),66009,,Felgars,
382,Arles-sur-Tech (Arles),66009,,Fontanills,
383,Arles-sur-Tech (Arles),66009,,Freixà,
