Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-00353,"Beauvoir,",fief,"
            Rainneville
         ",80661,"
         fief sis à 
            Rainneville
         .",,
DT80-00398,"Belleville,",fief,"
            Rainneville
         ",80661,"
         fief sis à 
            Rainneville
         .",,
DT80-04095,Rivière bleue.,rivière,"
            Ramecourt
         ",80279,"La rivière bleue passe à 
            Ramecourt
         , près de la ferme de Lannoy autour de laquelle elle forme une sorte d’étang, et de là se joint à l’Arrivant.",,
DT80-01186,"Chaussée Brunehaut,",voie romaine,"
            Reims
         ",51454,"
         voie romaine allant de 
            Reims
          à Boulogne par Soissons, ROYE, Amiens.",,
DT80-01193,"Chaussée romaine,",,"
            Reims
         ",51454,"de 
            Reims
          à Arras.",,
DT80-02999,"Mesnil-Favielle,",,"
            Renières-Ecluse
         ",80665,"dép. de 
            Renières-Ecluse
         .",Regnières-Ecluse,
DT80-00378,Belgique,auberge,"
            Richemont
         ",non,"
         auberge dép. de 
            Richemont
         .",,
DT80-03842,Povrelle,ferme,"
            Ronssoy
         ",80679,"
         ferme dép. de 
            Ronssoy
         .",,
DT80-02773,"Maison-Pajoux,",habitation isolée,"
            Ronssoy
         ",80679,"
         habitation isolée dép. de 
            Ronssoy
         .",,
DT80-04709,Sart,fief,"
            Ronssoy
         ",80679,"dép. de 
            Ronssoy
         .",,
DT80-04202,Rossignol,,"
            Rossignol-les-Machiel
         ",80496,"dép. de 
            Rossignol-les-Machiel
         .",,
DT80-04094,Rivière aux Nonnains.,Bras,"
            Rouvroy-les-Abbeville
         ",80001,"
         Bras de la Somme passant à 
            Rouvroy-les-Abbeville
         .",,
DT80-01475,"Doigt,",bras,"
            Rouvroy-lès-Abbeville
         ",80001,"
         bras de la Somme qui passe à 
            Rouvroy-lès-Abbeville
         .",,
DT80-03874,Prés,bois,"
            Rouy-le-Petit
         ",80684,"
         bois dép. de 
            Rouy-le-Petit
         .",,
DT80-00498,"Bis-Pont,",,"
            Rouy-le-Petit
         ",80684,"dép. de 
            Rouy-le-Petit
         , 15 habitants.",,
DT80-02280,Guinguette,habitation isolée,"
            Saillisel
         ",80695,"
         habitation isolée de 
            Saillisel
         .",,
DT80-04008,Ravin,,"
            Sailly
         ",80695,"de 
            Sailly
         .",,
DT80-03555,Pature,fief,"
            Sailly-Bray
         ",80600,"
         fief sis à 
            Sailly-Bray
         .",,
DT80-00751,"Bray,",partie,"
            Sailly-Bray
         ",80600,"
         partie de 
            Sailly-Bray
         .",,
DT80-01015,Carrière,écart,"
            Sailly-Laurette
         ",80693,"
         écart, dép. de 
            Sailly-Laurette
         . 27 habitants.",,
DT80-00739,"Boyenval,",fief,"
            Sailly-Laurette
         ",80693,"
         fief sis à 
            Sailly-Laurette
         .",,
