article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO8-00307,Celle Roubaud,Celle-Roubaud,Arcs,Arcs,Arcs,Arcs (83004),,,,,,,nulle,Var,83,Lorgues,dpt_exact,     Celle Roubaud  la   auj  Sainte Rosseline     Var     con de Lorgues     cne des Arcs       Cela Ribaut  65 var  c      Cela Robaut  monasterium  65 a      Sala Robaut  65 var  c    
PO8-00308,Cereste,Céreste,none,none,Céreste,Cereste (04045),,,,,,,nulle,Basses-Alpes,04,Reillanne,dpt_exact,     Céreste     Basses Alpes     con de Reillanne       Ceseresta  prior  48 b      Cezaresta  Sancta Maria  54 f  Sanctus Michael  54 f      Cezerista  prior  52 a  Sanctus Martinus  54 f  Sanctus Salvator pontis  eccl   52 f      Sezeresta  Sanctus Antonius  preceptor  52 f  Sanctus Salvator de Ponte  54 f    
PO8-00309,Cervieres,Cervières,none,none,Cervières,Cervieres (05027),,,,,,,nulle,Hautes-Alpes,05,Briançon,dpt_exact,     Cervières     Hautes Alpes     con de Briançon       Serveria  capellanus  247 b    
PO8-00310,Ceyreste,Ceyreste,none,none,Ceyreste,Ceyreste (13023),,,,,,,nulle,Bouches-du-Rhône,13,la Ciotat,dpt_exact,     Ceyreste     Bouches du Rhône     con de la Ciotat       lxxiii        Sezarista  capellanus  217 b  castrum  217 b  eccl   214 e    
PO8-00311,Chabestan,Chabestan,none,none,Chabestan,Chabestan (05028),,,,,,,nulle,Hautes-Alpes,05,Veynes,dpt_exact,     Chabestan     Hautes Alpes     con de Veynes       Cabestagnum  prior  83 f  91 f      Cabestanum  curatus  97 d  vicarius  97 d      Chabestang  capellanus  78 f  prior  73 a    
PO8-00312,Chabottes,Chabottes,none,none,Chabottes,Chabottes (05029),,,,,,,nulle,Hautes-Alpes,05,Saint-Bonnet,dpt_exact,     Chabottes     Hautes Alpes     con de Saint Bonnet       Cabote  Beata Maria  prior  85 f      Chabotte  99 b  prior  72 b    
PO8-00313,Chabottonnes,Chabottonnes,none,none,,05145,P49397622,DT05-02311,Clotons  Les  ,bois,commune de Saint-Jean-Saint-Nicolas,05145,communes_fuzzy,,,,,
PO8-00314,Chaffaut Lagremuse,Chaffaut-Lagremuse,none,none,,04046,,,,,,,nulle,Basses-Alpes,04,Digne,nulle,     Chaffaut Lagremuse     Basses Alpes     con de Digne       Cadafalcum  capellanus  257 c  258 a  prebenda  255 a    
PO8-00315,Chaillol,Chaillol,Saint Michel de Chaillol,Saint-Michel-de-Chaillol,Saint-Michel-de-Chaillol,Saint Michel de Chaillol (05153),,,,,,,nulle,Hautes-Alpes,05,Saint-Bonnet,dpt_exact,     Chaillol     Hautes Alpes     con de Saint Bonnet     cne de Saint Michel de Chaillol       Sanctus Petrus de Chaliolo  99 b      Chalol  capellanus  78 b    
PO8-00316,Chalp,Chalp,Mont Dauphin,Mont-Dauphin,Mont-Dauphin,Mont Dauphin (05082),,,,,,,nulle,Hautes-Alpes,05,Guillestre,dpt_exact,     Chalp  la      Hautes Alpes     con de Guillestre     cne de Mont Dauphin       Calma  capellanus  246 h  prior  252 a    
